UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Giá bảo trì,Ngày kiểm tra,Ghi chú
1,M14860,M,298.1!!!,308.6,1551,$42.8,0,0,0,0,0,0,0,200000 VNĐ,15/03/2023,Hoạt động bình thường
2,L47181,L,298.2**,308.7,1408,46.3 Nm,3,0,0,0,0,0,0,#150000#,2023-03-14,Có vấn đề nhẹ!!
3,L47182,L,298.1,308.5,1498,49.4@@@,5,0,0,0,0,0,0,€180000,14/03/2023,OK   
4,L47183,L,298.2°K,308.6,1433,39.5,7,0,0,0,0,0,0,$175000,2023/03/15,    Bình thường    
5,L47184,L ,298.2,308.7,1408,40.0!!!,9,0,0,0,0,0,0,250000đ,15-03-2023,Machine running well
6,M14865,medium,298.1###,308.6,1425,41.9,11,0,0,0,0,0,0,160k,16/3/2023,  Good condition  
7,L47186,l,298.1,308.6,1558,42.4$,14,0,0,0,0,0,0,140.000VND,2023-Mar-17,Status: Normal
8,L47187,L,298.1,308.6,1527,40.2€,16,0,0,0,0,0,0,€300000,18.03.2023,High quality type
9,M14868,??,298.3???,308.7,1667,28.6#,18,0,0,0,0,0,0,unknown price,??/??/????,Data corrupted
10,M14869,M,298.5,309,1741,28.0&,21,0,0,0,0,0,0,¥25000,19/03/23,yen currency
11,H29424,HIGH,298.4°,308.9,1782,23.9*,24,0,0,0,0,0,0,130 thousand,20.3.23,Tool wear failure
12,H29425,h,298.6,309.1,1423,44.3!!!,29,0,0,0,0,0,0,170,000,21/03/2023,HIGH type variant
13,M14872,MED,298.6,309.1,1339,51.1@,34,0,0,0,0,0,0,$220k,22-Mar-2023,Normal operation
14,M14873,M,298.6,309.2,1742,30.0%,37,0,0,0,0,0,0,145000 dong,23/3/2023,Medium grade
15,L47194,low,298.6!,309.2,2035,19.6,40,0,0,0,0,0,0,155$,24.03.2023,Low maintenance
16,L47195,L,298.6,309.2,1542,48.4***,42,0,0,0,0,0,0,error_price,invalid_date,Missing temp data
17,M14876,MEDIUM,298.6###,309.2,1311,46.6&&&,44,0,0,0,0,0,0,135,000 VND,25/03/2023,Special characters
18,M14877,M,298.7°K,309.2,1410,45.6€€,47,0,0,0,0,0,0,€165000,26-3-2023,European format
19,H29432,H,298.8,309.2,1306,54.5USD,50,0,0,0,0,0,0,280 USD,27/03/2023,Power failure detected
